name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
3573,2014,271,27000,6,2,1,0
3576,2013,378,43000,2,2,1,0
3551,2017,528,6900,6,2,1,0
3579,2011,236,5200,6,2,1,0
3575,2014,369,42450,2,2,1,0
3578,2018,630,2071,2,2,1,0
3551,2015,501,18796,6,2,1,0
3574,2015,489,33429,2,2,1,0
3551,2016,613,20273,2,2,1,0
3551,2015,538,42367,2,2,1,0
3545,2017,236,2135,6,2,1,0
3551,2015,507,51000,2,2,1,0
3551,2015,541,15000,6,2,0,0
3559,2015,463,26000,6,2,1,0
3556,2009,184,77427,6,2,1,0
3559,2016,556,43000,2,2,1,0
3559,2015,528,41678,2,2,1,0
3579,2015,266,35500,0,2,1,0
3576,2010,220,41442,6,2,1,0
3546,2016,236,25000,6,2,1,0
3568,2017,391,2400,6,2,1,0
3576,2011,354,50000,6,2,0,0
3546,2014,205,45280,6,2,1,0
3579,2013,241,56879,6,2,1,0
3575,2011,248,20000,6,2,1,0
3575,2013,332,55138,6,2,1,0
3575,2017,459,16200,6,3,1,0
3546,2010,162,44542,6,2,1,0
3551,2015,538,45000,2,2,1,0
3573,2012,254,51439,2,2,1,0
3573,2011,193,54200,6,2,1,0
3575,2014,393,39000,2,2,1,0
3559,2014,459,45000,2,2,1,0
3556,2014,427,45000,2,2,1,0
3576,2011,244,49998,0,2,1,0
3556,2015,371,48767,6,2,1,0
0,2003,16,127000,6,3,1,0
3546,2016,248,10079,6,2,1,0
3576,2003,184,62000,6,2,1,0
3548,2016,449,24524,6,2,0,0
3546,2014,211,46706,6,2,1,0
3576,2008,162,58000,6,2,1,0
3556,2014,427,45780,2,2,1,0
3572,2012,105,50000,6,2,1,0
3551,2014,541,15000,6,2,0,0
3573,2013,220,64532,6,2,1,0
3579,2006,87,65000,6,2,1,0
3559,2015,448,25870,6,2,1,0
3551,2017,556,37000,6,2,0,0
3564,2012,762,104707,2,2,0,0
3564,2015,872,40000,2,2,0,0
3569,2017,817,15000,2,2,0,0
3564,2013,785,135000,2,3,0,0
3569,2005,227,90000,6,3,1,0
3554,2009,289,70000,6,2,0,0
3560,2015,360,40534,6,2,1,0
3554,2010,378,50000,6,2,1,0
3561,2014,328,39485,6,2,1,1
3564,2014,843,41000,2,2,0,0
3554,2013,512,40001,6,2,1,0
3560,2015,360,40588,6,2,1,0
3564,2014,826,78000,2,2,0,0
3564,2015,875,47000,2,2,0,0
3564,2017,939,6000,2,2,0,0
3563,2014,378,45000,2,2,1,0
3569,2017,839,11000,6,2,0,0
3564,2010,630,59000,2,2,1,0
3554,2011,350,88000,6,2,1,0
3554,2016,751,12000,6,2,1,0
3563,2014,317,71000,2,2,1,0
3554,2011,360,45000,2,2,1,0
3554,2013,538,56001,6,2,1,0
3563,2011,220,43000,6,2,1,0
3560,2014,391,83000,2,2,1,0
3561,2015,317,36000,6,2,1,0
3554,2013,427,72000,6,2,1,0
3553,2004,126,135154,6,2,0,0
3554,2010,412,80000,6,2,0,0
3564,2012,753,89000,2,2,0,0
3554,2016,758,23000,2,2,1,0
3562,2015,378,40000,2,2,1,0
3569,2017,872,15000,2,2,0,0
3569,2015,720,38000,2,2,1,0
3569,2005,280,197176,2,2,1,0
3550,2006,205,142000,6,3,0,3
3571,2010,948,78000,2,2,1,0
3554,2012,452,56000,6,2,1,0
3563,2013,276,47000,6,2,1,0
3561,2014,378,40000,6,2,1,0
3554,2009,306,62000,6,2,1,0
3569,2014,689,58242,2,2,1,0
3569,2005,282,75000,6,2,1,0
3554,2008,320,89000,6,2,0,0
3554,2012,449,72000,6,2,1,0
3569,2016,850,29000,2,2,0,0
3554,2017,800,8700,6,2,1,0
3554,2013,518,45000,6,2,1,0
3564,2010,645,50024,2,2,1,0
2787,2016,147,3000,6,3,1,0
3402,2017,143,1400,6,3,1,0
1415,2017,139,4000,6,3,1,0
186,2017,122,1200,6,3,1,0
2784,2017,115,4100,6,3,1,0
1416,2015,115,21700,6,3,1,0
835,2014,115,16500,6,3,1,1
2786,2013,105,15000,6,3,1,0
2786,2016,100,18000,6,3,1,0
2784,2017,100,11000,6,3,1,0
1415,2016,100,6000,6,3,1,0
2786,2016,96,8700,6,3,1,0
1414,2014,96,7000,6,3,1,0
1603,2016,96,35000,6,3,1,0
2784,2015,96,17000,6,3,1,0
2784,2015,93,17500,6,3,1,0
2784,2013,91,33000,6,3,1,0
2787,2015,91,14000,6,3,1,0
2784,2015,91,26000,6,3,1,0
2787,2013,87,5400,6,3,1,0
192,2016,87,5700,6,3,1,0
2786,2011,87,6900,6,3,1,0
2783,2016,87,6000,6,3,1,0
2784,2013,84,46500,6,3,1,0
2785,2012,79,11500,6,3,1,0
2785,2009,71,40000,6,3,1,0
181,2017,71,1300,6,3,1,0
179,2016,56,7000,6,3,1,0
676,2017,61,3000,6,3,1,0
3543,2017,58,5000,6,3,1,0
676,2017,56,11000,6,3,1,0
3541,2015,56,18000,6,3,1,0
181,2017,56,3500,6,3,1,0
181,2016,54,500,6,3,1,0
2882,2017,45,11800,6,3,1,0
189,2015,45,5000,6,3,1,0
681,2014,45,23500,6,3,1,0
583,2013,45,16000,6,3,1,0
676,2016,41,15000,6,3,1,0
182,2015,41,16600,6,3,1,0
681,2013,41,32000,6,3,1,0
180,2016,41,20000,6,3,1,0
3540,2015,41,29000,6,3,1,0
3540,2016,41,25000,6,3,1,0
187,2014,41,25000,6,3,1,0
2882,2012,41,19000,6,3,1,0
583,2014,34,15000,6,3,1,0
3543,2015,34,58000,6,3,1,0
190,2010,31,45000,6,3,1,0
190,2016,29,24000,6,3,1,0
2883,2011,28,6000,6,3,1,0
589,2016,28,31000,6,3,1,0
191,2012,28,13000,6,3,1,0
191,2013,28,45000,6,3,1,0
3544,2014,28,8000,6,3,1,0
602,2017,26,4300,6,3,0,0
2885,2017,26,15000,6,3,1,0
3543,2015,26,23000,6,3,1,0
787,2017,26,8600,6,3,1,0
602,2017,23,4000,6,3,0,0
183,2011,23,24000,6,3,1,0
2883,2014,23,23000,6,3,1,0
191,2012,23,14500,6,3,1,0
182,2010,23,27000,6,3,1,0
591,2016,23,14000,6,3,1,0
1,2016,23,500,6,3,0,0
588,2016,23,1000,6,3,1,0
2882,2014,21,42000,6,3,1,0
678,2013,21,12000,6,3,1,0
591,2015,20,14000,6,3,1,0
3542,2012,20,5500,6,3,1,0
588,2015,20,6700,6,3,1,0
188,2014,20,13700,6,3,1,0
2,2017,20,1300,6,3,0,0
679,2015,18,38600,6,3,1,0
585,2011,18,75000,6,3,1,0
816,2011,16,30000,6,3,1,0
601,2016,16,24000,6,3,0,0
2884,2014,16,19000,6,3,0,0
816,2010,12,213000,6,3,1,0
586,2012,11,60000,6,3,1,0
590,2016,11,50000,6,3,1,0
677,2013,11,30000,6,3,1,0
184,2013,9,21000,6,3,1,0
189,2008,8,26000,6,3,1,1
2881,2008,8,1900,6,3,0,0
2886,2010,8,22000,6,3,0,0
680,2013,8,32000,6,3,1,0
584,2013,8,18000,6,3,1,0
592,2005,6,55000,6,3,1,0
189,2008,6,60000,6,3,1,0
185,2012,6,25000,6,3,1,1
587,2007,6,49000,6,3,1,1
582,2013,6,24000,6,3,1,1
581,2008,6,50000,6,3,1,0
178,2015,5,35000,6,3,1,0
1,2008,4,500000,6,3,0,0
680,2010,3,33000,6,3,1,0
185,2011,2,35000,6,3,1,1
677,2007,1,53000,6,3,1,0
189,2006,0,92233,6,3,1,0
3567,2010,266,58000,2,2,1,1
3565,2015,354,28200,6,2,1,0
3566,2011,244,53460,6,2,1,0
3558,2015,227,28282,6,2,1,0
3565,2016,412,3493,6,2,1,1
3580,2017,443,12479,6,2,1,0
3565,2015,406,34797,6,2,0,0
3567,2017,566,3435,6,2,1,0
3565,2015,385,21125,2,2,1,0
3566,2012,254,35775,6,2,1,0
3557,2015,702,43535,2,2,1,0
3555,2016,689,22671,6,2,1,0
3567,2011,241,31604,6,2,1,0
3565,2017,412,20114,6,2,1,0
3577,2012,360,36100,6,2,1,0
3558,2016,241,12500,6,2,1,0
3558,2016,258,15000,6,2,1,0
3577,2014,487,45078,6,2,1,0
3577,2012,360,36000,6,2,1,0
3558,2017,281,38488,6,2,1,0
3567,2013,360,32000,6,2,0,0
3567,2014,459,77632,2,2,1,0
3577,2015,588,61381,2,2,1,0
3577,2013,403,36198,6,2,0,0
3566,2011,224,22517,6,2,1,0
3565,2015,412,24678,6,2,1,0
3566,2011,211,57000,6,2,1,0
3577,2012,393,60000,2,2,1,0
3567,2012,254,52132,2,2,1,0
3577,2013,467,45000,2,2,1,0
3577,2017,630,15001,6,2,1,0
3557,2015,695,12900,6,2,0,0
3565,2013,314,53000,2,2,1,0
3565,2015,427,4492,6,2,1,0
3577,2017,625,15141,6,2,1,0
3558,2016,254,11849,6,2,1,0
3555,2015,689,68000,2,2,1,0
3577,2013,381,60241,6,2,1,0
3558,2012,166,23709,6,2,1,0
3577,2012,419,32322,2,2,1,0
3580,2015,378,35866,6,2,1,1
3580,2014,354,34000,6,2,1,0
3567,2016,473,7000,6,2,1,0
3577,2013,454,49000,2,2,1,0
3577,2012,408,71000,2,2,1,0
3567,2012,301,35000,6,2,1,0
3577,2015,454,36000,6,2,1,0
3566,2013,320,30000,6,2,1,0
3567,2016,412,17000,6,2,1,0
3555,2016,729,35934,2,2,1,0
3552,2013,396,56701,6,2,1,0
3549,2015,422,31427,6,2,0,0
3552,2014,524,48000,2,2,1,0
3552,2013,412,54242,6,2,1,0
3549,2012,248,53675,6,2,1,0
3552,2016,662,49562,6,2,1,0
3552,2015,600,40324,6,2,1,0
3552,2015,596,25000,6,2,1,0
3547,2014,314,36054,6,2,1,0
3552,2016,628,29223,6,2,1,0
3549,2016,427,5600,6,2,1,0
3547,2015,320,40023,6,2,1,0
3570,2016,493,16002,6,2,1,0
3547,2015,320,40026,6,2,1,0
3570,2017,489,21200,6,2,1,0
3547,2014,293,35000,6,2,1,0
3552,2016,593,19434,2,2,1,0
3549,2017,381,19000,6,2,1,0
3552,2015,499,18828,6,2,1,0
3552,2011,328,69341,6,2,1,0
3552,2009,248,69562,6,2,1,0
3552,2015,541,27600,6,2,1,0
3570,2010,184,61203,6,2,1,0
3549,2014,416,16500,6,2,1,0
3552,2016,679,30753,6,2,0,0
3552,2015,608,24800,6,2,1,0
3552,2015,647,21780,6,2,1,0
3570,2016,459,4000,6,2,1,0
3552,2014,473,40126,6,2,1,0
3549,2015,412,14465,6,2,1,0
3552,2006,173,50456,6,2,1,0
3552,2014,588,63000,2,2,1,0
3552,2016,621,9010,6,2,1,0
3549,2013,281,9800,6,2,1,0
3570,2016,535,15059,6,2,0,0
3570,2016,436,28569,6,2,1,0
3547,2015,443,44000,6,2,0,0
3552,2015,596,34000,6,2,1,0
3552,2016,659,10980,6,2,1,0
3547,2014,360,19000,6,2,1,0
3549,2015,422,31427,6,2,1,0
3570,2016,483,12000,6,2,1,0
3552,2010,266,38000,6,2,1,0
3547,2014,301,33019,6,2,1,0
3552,2015,604,60076,2,2,1,0
3552,2016,640,33988,2,2,1,0
3549,2015,320,60000,6,2,1,0
3552,2009,271,87934,6,2,1,0
3552,2017,698,9000,2,2,1,0
3549,2016,416,5464,6,2,1,0
1839,2007,41,70000,6,3,1,0
2422,2007,115,50000,6,3,1,0
1163,2012,459,100000,2,3,1,0
327,2017,205,46000,6,3,1,0
652,2014,360,141000,2,3,1,1
1891,2007,118,125000,6,3,1,0
1236,2016,427,25000,6,3,1,0
3002,2014,197,60000,6,3,1,1
886,2015,600,25000,6,3,1,0
1921,2017,293,78000,0,3,1,0
241,2015,216,35000,6,3,1,0
3002,2014,205,100000,6,3,1,0
3225,2018,790,25000,6,2,0,0
1968,2015,449,24000,6,2,1,0
1143,2019,707,5000,2,2,1,0
232,2013,314,33000,2,3,1,1
1376,2014,837,28000,2,2,0,0
2576,2013,751,59000,2,2,0,0
2396,2018,649,4500,2,2,0,0
71,2011,706,175900,2,2,0,0
727,2018,632,14500,6,2,1,0
3175,2018,412,15000,6,3,1,0
40,2013,804,50000,2,2,0,0
2581,2012,741,33800,2,2,0,1
2869,2011,360,130400,2,2,0,1
3232,2016,622,50000,6,3,0,0
3321,2015,732,80000,2,3,1,0
1391,2019,747,10000,6,3,1,0
2518,2010,600,119000,6,2,0,0
1271,2014,188,60000,6,3,1,3
110,2013,774,75800,2,2,0,1
91,2009,720,78000,2,2,0,2
931,2012,473,40000,2,3,1,0
1616,2014,668,50000,2,3,1,0
746,2014,432,74000,2,3,1,1
2436,2014,241,64000,6,3,1,1
2435,2012,227,60000,6,3,1,1
1645,2009,329,120000,2,3,1,1
1099,2009,126,79000,6,3,1,2
1001,2019,396,15000,6,3,1,0
1893,2006,84,80000,6,3,1,0
2325,2017,528,18500,2,2,1,0
1982,2018,321,10200,6,2,1,0
1360,2018,541,29000,2,2,1,0
2064,2018,254,28000,6,2,1,0
2380,2016,495,46000,2,2,1,0
1314,2014,370,70000,2,2,1,0
1893,2012,135,60000,6,3,1,1
1554,1996,205,35000,2,3,1,1
747,2014,501,90000,2,2,1,0
2435,2013,248,80000,6,2,1,0
2921,2005,51,80000,2,3,1,0
921,2014,197,73300,6,2,1,1
3252,2014,412,92000,2,2,1,0
1893,2009,127,66764,6,2,1,1
1893,2009,118,100000,6,3,1,0
288,2010,232,350000,2,3,1,1
3228,2011,281,230000,2,3,1,0
1620,2017,439,60000,2,3,1,0
921,2018,248,31000,6,3,1,0
2997,2007,84,39000,2,3,1,0
3347,2009,396,120000,2,3,1,2
2969,2014,105,166000,2,3,1,3
2292,2006,110,110000,6,3,1,2
393,2017,630,35000,2,3,1,0
1946,2018,541,60000,2,3,1,0
779,2007,166,54000,6,3,0,1
1279,2010,203,63000,6,3,1,1
2838,2014,360,120000,2,3,1,1
994,2005,61,120000,6,3,1,2
2657,2014,489,76000,6,3,1,1
1024,2015,360,80000,2,3,1,0
954,2019,489,25000,2,3,1,0
640,2016,393,11958,6,2,1,0
671,2015,298,20000,6,2,1,0
878,2017,662,9000,6,2,1,0
2598,2017,1060,6500,2,2,0,0
